rates

SECID;PRICE;PRICE_RUB;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;RTH1;RTL1;RTH2;RTL2;RTH3;RTL3;SHORTNAME;NAME;TYPENAME;ISIN;FACEUNIT;FACEVALUE;ISSUESIZE;MATDATE;IS_COLLATERAL;IS_EXTERNAL;IS_RII;REGISTRY_CLOSE_DATE;DISTRIBUTED_PROFIT_VALUE;LISTLEVEL;PRIMARY_BOARDID;DISCOUNTL0;DISCOUNTH0
ABRD;165,8484;165,8484;100;;;;;331,6968;0;331,6968;0;331,6968;0;АбрауДюрсо;Абрау-Дюрсо ПАО ао;Акция обыкновенная;RU000A0JS5T7;RUR;1;98000184;;0;0;;02.07.2017;;3;TQBR;29,77;59,29
ACKO;7,8808;7,8808;100;;;;;15,7616;0;15,7616;0;15,7616;0;АСКО ао;СК ЮЖУРАЛ-АСКО ПАО ао;Акция обыкновенная;RU000A0JXS91;RUR;1;526000000;;0;0;;;;3;TQBR;31,04;78,31
AFKS;13,2736;13,2736;50;5617556;70;28087780;90;19,9104;6,6368;22,5651;3,9821;25,2198;1,3274;Система ао;АФК "Система" ПАО ао;Акция обыкновенная;RU000A0DQZE3;RUR;0,09;9650000000;;0;0;;13.07.2017;1,19;1;TQBR;17,87;12,39
AFLT;180,7998;180,7998;14;734224;20;3671120;31;206,1118;155,4878;216,9598;144,6398;236,8477;124,7519;Аэрофлот;Аэрофлот-росс.авиалин(ПАО)ао;Акция обыкновенная;RU0009062285;RUR;1;1110616299;;1;0;;14.07.2017;17,4795;1;TQBR;7,46;7,77
AKRN;3505,93;3505,93;50;3010;71;15050;95;5258,9;1752,97;5995,14;1016,72;6836,56;175,3;Акрон;Акрон ПАО ао;Акция обыкновенная;RU0009028674;RUR;5;40534000;;0;0;;26.09.2017;250;1;TQBR;5,48;5,59
ALBK;31,2714;31,2714;100;;;;;62,5428;0;62,5428;0;62,5428;0;БестЭфБ ао;Бест Эффортс Банк ПАО ао;Акция обыкновенная;RU000A0JS2M9;RUR;10;56490000;;0;0;;;;3;TQBR;41,06;73,55
ALNU;149863,03;149863,03;100;;;;;299726,06;0;299726,06;0;299726,06;0;АЛРОСА-Нюр;АЛРОСА-Нюрба ПАО ао;Акция обыкновенная;RU000A0JP468;RUR;25;800000;;0;0;;16.06.2017;;3;TQBR;30,77;56,36
ALRS;81,1988;81,1988;14;3796908;20;18984540;31;92,5666;69,831;97,4386;64,959;106,3704;56,0272;АЛРОСА ао;АЛРОСА ПАО ао;Акция обыкновенная;RU0007252813;RUR;0,5;7364965630;;1;0;;20.07.2017;8,93;1;TQBR;7,75;6,95
AMEZ;5,455;5,455;100;;;;;10,91;0;10,91;0;10,91;0;АшинскийМЗ; Ашинский метзавод ПАО ао;Акция обыкновенная;RU000A0B88G6;RUR;1;498454822;;0;0;;;;2;TQBR;8,02;18,28
APTK;9,032;9,032;70;1431434;80;7157170;95;15,354;2,71;16,258;1,806;17,612;0,452;Аптеки36и6;ПАО "Аптечная сеть 36,6" ао;Акция обыкновенная;RU0008081765;RUR;0,64;2330647246;;0;0;;;;2;TQBR;7,62;13,99
AQUA;199,3178;199,3178;100;;;;;398,6356;0;398,6356;0;398,6356;0;РусАква ао;Русская Аквакультура ПАО ао;Акция обыкновенная;RU000A0JQTS3;RUR;100;79537651;;0;0;;;;2;TQBR;42,54;40,41
ARSA;3,34694;3,34694;100;;;;;6,69388;0;6,69388;0;6,69388;0;Арсагера;УК Арсагера ПАО-ао;Акция обыкновенная;RU000A0JP0Q7;RUR;1;123817165;;0;0;;;;3;TQBR;29,57;67,87
ASSB;0,47756;0,47756;100;;;;;0,95512;0;0,95512;0;0,95512;0;АстрЭнСб;"Астраханская ЭСК" ПАО;Акция обыкновенная;RU000A0D8MM8;RUR;0,007;773900078;;0;0;;;;3;TQBR;38,65;52,33
AVAN;469,571;469,571;100;;;;;939,142;0;939,142;0;939,142;0;Авангрд-ао;АКБ "АВАНГАРД" ПАО ао;Акция обыкновенная;RU000A0DM7B3;RUR;10;80700000;;0;0;;;;3;TQBR;33,42;71,33
AVAZ;11,9591;11,9591;70;1061008;80;5305040;95;20,3305;3,5877;21,5264;2,3918;23,3202;0,598;АВТОВАЗ ао;АВТОВАЗ (ПАО) ао;Акция обыкновенная;RU0009071187;RUR;5;4726988118;;0;0;;;;3;TQBR;6,33;15,90
AVAZP;10,8401;10,8401;70;1554823;80;7774115;95;18,4282;3,252;19,5122;2,168;21,1382;0,542;АВТОВАЗ ап;АВТОВАЗ (ПАО) ап;Акция привилегированная ;RU000A0JQ433;RUR;5;461764300;;0;0;;;;3;TQBR;9,91;15,57
BANE;2179,01;2179,01;35;3107;49;15535;78;2941,66;1416,36;3246,72;1111,3;3878,64;479,38;Башнефт ао;Башнефть АНК ао;Акция обыкновенная;RU0007976957;RUR;1;147846489;;0;0;;12.07.2017;;3;TQBR;10,83;11,49
BANEP;1454,21;1454,21;35;10630;49;53150;78;1963,18;945,24;2166,77;741,65;2588,49;319,93;Башнефт ап;Башнефть АНК ап;Акция привилегированная ;RU0007976965;RUR;1;29788012;;0;0;;12.07.2017;0,1;3;TQBR;5,67;7,99
BELU;629,42;629,42;100;;;;;1258,84;0;1258,84;0;1258,84;0;Белуга ао;Белуга Групп ПАО ао;Акция обыкновенная;RU000A0HL5M1;RUR;100;24954049;;0;0;;;;2;TQBR;29,77;58,54
BISV;10,0439;10,0439;100;;;;;20,0878;0;20,0878;0;20,0878;0;БашИнСв ао;Башинформсвязь(ПАО) ао;Акция обыкновенная;RU0009059216;RUR;1;949023840;;0;0;;11.07.2017;;3;TQBR;21,70;52,41
BISVP;3,94639;3,94639;100;;;;;7,89278;0;7,89278;0;7,89278;0;БашИнСв ап;Башинформсвязь(ПАО) ап;Акция привилегированная ;RU0009100176;RUR;1;36165270;;0;0;;11.07.2017;;3;TQBR;21,13;26,80
BLNG;3,0073;3,0073;100;;;;;6,0146;0;6,0146;0;6,0146;0;Белон ао;Белон ОАО ао;Акция обыкновенная;RU000A0J2QG8;RUR;0,01;1150000000;;0;0;;;;3;TQBR;12,28;14,83
BRZL;909,17;909,17;100;;;;;1818,34;0;1818,34;0;1818,34;0;БурЗолото;Бурятзолото ПАО ао;Акция обыкновенная;RU0009288658;RUR;0,025;7027270;;0;0;;;;3;TQBR;12,59;22,46
BSPB;54,7;54,7;35;156701;49;783505;78;73,845;35,555;81,503;27,897;97,366;12,034;БСП ао;ПАО "Банк "Санкт-Петербург" ао;Акция обыкновенная;RU0009100945;RUR;1;499554000;;0;0;;31.05.2017;1,05;1;TQBR;6,53;6,10
CBOM;4,5129;4,5129;36;2263109;51;11315545;80;6,1375;2,8883;6,8145;2,2113;8,1232;0,9026;МКБ ао;"МКБ" ПАО ао;Акция обыкновенная;RU000A0JUG31;RUR;1;23879709866;;0;0;;31.07.2015;0;1;TQBR;3,42;3,27
CHEP;114,895;114,895;100;;;;;229,79;0;229,79;0;229,79;0;ЧТПЗ ао;"ЧТПЗ" ПАО ао;Акция обыкновенная;RU0009066807;RUR;1;472382880;;0;0;;10.05.2017;;3;TQBR;59,95;47,14
CHGZ;30,9861;30,9861;100;;;;;61,9722;0;61,9722;0;61,9722;0;РН-ЗапСиб;РН-Западная Сибирь ПАО ао;Акция обыкновенная;RU0009082291;RUR;0,1;26771420;;0;0;;;;3;TQBR;17,61;20,88
CHKZ;1919,14;1919,14;100;;;;;3838,28;0;3838,28;0;3838,28;0;ЧКПЗ ао;"ЧКПЗ" ПАО ао;Акция обыкновенная;RU000A0JNST0;RUR;200;600216;;0;0;;19.06.2017;;3;TQBR;38,81;66,33
CHMF;901,069;901,069;15;160799;21;803995;34;1036,229;765,909;1090,293;711,845;1207,432;594,706;СевСт-ао;Северсталь (ПАО)ао;Акция обыкновенная;RU0009046510;RUR;0,01;837718660;;1;0;;26.09.2017;80,6;1;TQBR;6,47;5,64
CHMK;3856,48;3856,48;100;;;;;7712,96;0;7712,96;0;7712,96;0;ЧМК ао;"ЧМК" ПАО ао;Акция обыкновенная;RU0007665170;RUR;1;3161965;;0;0;;;;3;TQBR;13,89;21,93
CHZN;519,525;519,525;100;;;;;1039,05;0;1039,05;0;1039,05;0;ЧЦЗ ао;Челябинский цинк. завод ао;Акция обыкновенная;RU0009093918;RUR;1;54195410;;0;0;;;;2;TQBR;30,77;56,36
CLSB;0,129881;0,129881;100;;;;;0,259762;0;0,259762;0;0,259762;0;ЧелябЭС ао;"Челябэнергосбыт" ПАО;Акция обыкновенная;RU000A0EABG1;RUR;0,007;6894914573;;0;0;;23.06.2017;;3;TQBR;56,09;74,85
CLSBP;0,131879;0,131879;100;;;;;0,263758;0;0,263758;0;0,263758;0;ЧелябЭС ап;"Челябэнергосбыт" ПАО ап;Акция привилегированная ;RU000A0EABH9;RUR;0,007;859219416;;0;0;;23.06.2017;;3;TQBR;22,26;31,39
CNTL;25,5766;25,5766;100;;;;;51,1532;0;51,1532;0;51,1532;0;Телеграф;"Центральный Телеграф" ПАО ао;Акция обыкновенная;RU0007665147;RUR;1;166167000;;0;0;;07.07.2017;;3;TQBR;23,69;49,05
CNTLP;10,5204;10,5204;100;;;;;21,0408;0;21,0408;0;21,0408;0;Телеграф-п;"Центральный Телеграф" ПАО ап;Акция привилегированная ;RU0007665139;RUR;1;55389000;;0;0;;07.07.2017;;3;TQBR;13,59;47,82
DASB;0,113896;0,113896;100;;;;;0,227792;0;0,227792;0;0,227792;0;ДагСб ао;ао Дагестанская энергосб.комп.;Акция обыкновенная;RU000A0F63G0;RUR;0,003;5269115472;;0;0;;;;3;TQBR;55,98;31,63
DGBZ;39,9635;39,9635;100;;;;;79,927;0;79,927;0;79,927;0;Дорогбж ао;Дорогобуж ПАО ао;Акция обыкновенная;RU0007661674;RUR;0,25;875439260;;0;0;;01.06.2017;;3;TQBR;9,74;9,15
DIOD;3,8465;3,8465;100;;;;;7,693;0;7,693;0;7,693;0;iЗаводДИОД;Завод ДИОД ПАО ао;Акция обыкновенная;RU000A0JQWC1;RUR;0,01;91500000;;0;0;R;13.07.2017;;3;TQBR;8,08;10,29
DIXY;323,699;323,699;35;45479;49;227395;78;436,994;210,404;482,312;165,086;576,184;71,214;ДИКСИ ао;ГК "ДИКСИ" ао;Акция обыкновенная;RU000A0JP7H1;RUR;0,01;124750000;;1;0;;;;1;TQBR;4,76;9,54
DSKY;100,55;100,55;50;118828;71;594140;95;150,825;50,275;171,941;29,16;196,073;5,028;ДетскийМир;ПАО Детский мир;Акция обыкновенная;RU000A0JSQ90;RUR;0,0004;739000000;;0;0;;17.07.2017;7,7;1;TQBR;29,77;50,00
DVEC;0,48356;0,48356;100;;;;;0,96712;0;0,96712;0;0,96712;0;ДЭК ао;"ДЭК" ПАО ао;Акция обыкновенная;RU000A0JP2W1;RUR;1;17223107804;;0;0;;;;2;TQBR;10,67;12,12
DZRD;2207,98;2207,98;100;;;;;4415,96;0;4415,96;0;4415,96;0;iДонскЗР;Донской завод радиодеталей ао;Акция обыкновенная;RU000A0JQW11;RUR;1;343407;;0;0;R;08.05.2013;;3;TQBR;53,03;54,45
DZRDP;2108,07;2108,07;100;;;;;4216,14;0;4216,14;0;4216,14;0;iДонскЗР п;Донской завод радиодеталей ап;Акция привилегированная ;RU000A0JQW29;RUR;1;114469;;0;0;R;08.05.2013;;3;TQBR;12,30;11,91
EELT;11,8891;11,8891;100;;;;;23,7782;0;23,7782;0;23,7782;0;ЕвроЭлтех;"ЕвропЭлектротехника" ПАО ао;Акция обыкновенная;RU000A0JWW54;RUR;1;610000000;;0;0;;;;3;TQBR;29,77;90,37
ELTZ;634,42;634,42;100;;;;;1268,84;0;1268,84;0;1268,84;0;Электрцинк;Электроцинк ОАО ао;Акция обыкновенная;RU000A0B66V1;RUR;1;1404308;;0;0;;;;3;TQBR;5,58;7,30
ENRU;1,27483;1,27483;35;10005303;49;50026515;78;1,72102;0,82864;1,8995;0,65016;2,2692;0,28046;ЭнелРос ао;"Энел Россия" ПАО;Акция обыкновенная;RU000A0F5UN3;RUR;1;35371898370;;0;0;;28.06.2017;0,06822;1;TQBR;6,60;6,91
EPLN;700,859;700,859;100;;;;;1401,718;0;1401,718;0;1401,718;0;САФМАР ао;САФМАР Фин.Инвестиции ПАО ао;Акция обыкновенная;RU000A0JVW89;RUR;0,67;111637791;;0;0;;;;1;TQBR;12,09;11,09
ERCO;39,98039;39,98039;100;;;;;79,96078;0;79,96078;0;79,96078;0;ЭРКО ао;Энерг.Рус.Компания ОАО ао;Акция обыкновенная;RU000A0JNMJ4;RUR;1;10350000;;0;0;;;;3;TQBR;37,40;63,29
FEES;0,1716;0,1716;21;1589223344;30;7946116720;47;0,207636;0,135564;0,22308;0,12012;0,252252;0,090948;ФСК ЕЭС ао;"ФСК ЕЭС" ПАО ао;Акция обыкновенная;RU000A0JPNN9;RUR;0,5;1274665323063;;1;0;;19.07.2017;0,0142663525;1;TQBR;12,49;9,50
FESH;7,3383;7,3383;100;;;;;14,6766;0;14,6766;0;14,6766;0;ДВМП ао;ДВ морское пароходство ПАО ао;Акция обыкновенная;RU0008992318;RUR;1;2951250000;;0;0;;;;3;TQBR;12,41;20,49
FTRE;1307,8;1307,8;100;;;;;2615,6;0;2615,6;0;2615,6;0;БУДУЩЕЕ ао;Финансовая группа БУДУЩЕЕ ао;Акция обыкновенная;RU000A0JWNX4;RUR;1000;49174725;;0;0;;;;2;TQBR;2,08;2,21
GAZA;739,324;739,324;100;;;;;1478,648;0;1478,648;0;1478,648;0;ГАЗ ао;ГАЗ ПАО ао;Акция обыкновенная;RU0009034268;RUR;1;18520260;;0;0;;10.07.2017;;3;TQBR;14,91;12,54
GAZAP;506,533;506,533;100;;;;;1013,066;0;1013,066;0;1013,066;0;ГАЗ ап;ГАЗ ПАО ап;Акция привилегированная ;RU0009102834;RUR;1;1453500;;0;0;;10.07.2017;;3;TQBR;29,77;56,30
